"upload_date","country_name","country_code","year","supra_reg","fishing_tech","vessel_length","geo_indicator","cluster_name","fs_name","variable_group","variable_name","variable_code","value","unit","fromtable","framework","template_name","gear","fishery","activity"
2024-04-09,"Sweden","SWE",2009,"NAO","FPO","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Capacity","Total vessel power","totkw",523.08,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PMP","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Capacity","Total vessel power","totkw",630.5,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PGP","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Capacity","Total vessel power","totkw",324.87,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","HOK","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Capacity","Total vessel power","totkw",142.65,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","HOK","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Capacity","Total vessel power","totkw",703.73,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DFN","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Capacity","Total vessel power","totkw",3410.89,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Capacity","Total vessel power","totkw",126.97,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Capacity","Total vessel power","totkw",375,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","TM","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Capacity","Total vessel power","totkw",490,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","TM","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Capacity","Total vessel power","totkw",24927,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","HOK","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Capacity","Total vessel power","totkw",1096.86,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","FPO","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Total vessel power","totkw",661.49,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL0812","NGI","NAOINACTVL0812NGI","SWE NAO INA0812 NGI *","Capacity","Total vessel power","totkw",2733.55,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL1012","NGI","NAOINACTVL1012NGI","SWE NAO INA1012 NGI *","Capacity","Total vessel power","totkw",1394.3,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL1218","NGI","NAOINACTVL1012NGI","SWE NAO INA1012 NGI *","Capacity","Total vessel power","totkw",11751,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PGO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Capacity","Total vessel power","totkw",53.41,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DFN","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Capacity","Total vessel power","totkw",9817.84,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DTS","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Capacity","Total vessel power","totkw",23035.04,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DTS","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Capacity","Total vessel power","totkw",20186.68,"kW","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","FPO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Capacity","Total vessel tonnage","totgt",742.78,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PS","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Capacity","Total vessel tonnage","totgt",17.28,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PGP","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Capacity","Total vessel tonnage","totgt",10.57,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PGP","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Total vessel tonnage","totgt",24.82,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","FPO","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Total vessel tonnage","totgt",256.3,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL0010","NGI","NAOINACTVL0010NGI","SWE NAO INA0010 NGI *","Capacity","Total vessel tonnage","totgt",220.17,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PMP","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Capacity","Total vessel tonnage","totgt",12.31,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DFN","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Total vessel tonnage","totgt",165.98,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DRB","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Capacity","Total vessel tonnage","totgt",2.49,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DTS","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Capacity","Total vessel tonnage","totgt",241.75,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DTS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Capacity","Total vessel tonnage","totgt",453.15,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DTS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Capacity","Total vessel tonnage","totgt",3780.02,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","HOK","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Total vessel tonnage","totgt",74.28,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","FPO","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Capacity","Total vessel tonnage","totgt",132.47,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","HOK","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Total vessel tonnage","totgt",81,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL0008","NGI","NAOINACTVL0008NGI","SWE NAO INA0008 NGI *","Capacity","Total vessel tonnage","totgt",173.21,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DFN","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Capacity","Total vessel tonnage","totgt",179.65,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DFN","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Total vessel tonnage","totgt",413.08,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PGP","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Capacity","Total vessel tonnage","totgt",75.25,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","FPO","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Capacity","Total vessel tonnage","totgt",47.01,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PMP","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Capacity","Total vessel tonnage","totgt",21.63,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PGP","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Capacity","Total vessel tonnage","totgt",10.23,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","HOK","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Capacity","Total vessel tonnage","totgt",10.55,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","HOK","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Capacity","Total vessel tonnage","totgt",46.64,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DFN","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Capacity","Total vessel tonnage","totgt",187.12,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Capacity","Total vessel tonnage","totgt",8.19,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Capacity","Total vessel tonnage","totgt",38,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","TM","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Capacity","Total vessel tonnage","totgt",192,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","TM","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Capacity","Total vessel tonnage","totgt",8533,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","HOK","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Capacity","Total vessel tonnage","totgt",113.78,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","FPO","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Total vessel tonnage","totgt",50.04,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL0812","NGI","NAOINACTVL0812NGI","SWE NAO INA0812 NGI *","Capacity","Total vessel tonnage","totgt",211.93,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL1012","NGI","NAOINACTVL1012NGI","SWE NAO INA1012 NGI *","Capacity","Total vessel tonnage","totgt",73.15,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL1218","NGI","NAOINACTVL1012NGI","SWE NAO INA1012 NGI *","Capacity","Total vessel tonnage","totgt",4096,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PGO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Capacity","Total vessel tonnage","totgt",6.21,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DFN","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Capacity","Total vessel tonnage","totgt",1073.67,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DTS","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Capacity","Total vessel tonnage","totgt",6329.74,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DTS","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Capacity","Total vessel tonnage","totgt",6493,"GT","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","FPO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Capacity","Mean LOA of vessels","avgloa",7.5663,"metre","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PS","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Capacity","Mean LOA of vessels","avgloa",11.22,"metre","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PGP","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Capacity","Mean LOA of vessels","avgloa",11.15,"metre","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PGP","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Mean LOA of vessels","avgloa",10.27,"metre","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","FPO","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Mean LOA of vessels","avgloa",10.8354,"metre","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL0010","NGI","NAOINACTVL0010NGI","SWE NAO INA0010 NGI *","Capacity","Mean LOA of vessels","avgloa",6.8465,"metre","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","PMP","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Capacity","Mean LOA of vessels","avgloa",9.25,"metre","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DFN","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Mean LOA of vessels","avgloa",10.8569,"metre","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DRB","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Capacity","Mean LOA of vessels","avgloa",6.7,"metre","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DTS","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Capacity","Mean LOA of vessels","avgloa",11.2761,"metre","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DTS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Capacity","Mean LOA of vessels","avgloa",11.399,"metre","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","DTS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Capacity","Mean LOA of vessels","avgloa",14.8304,"metre","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","HOK","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Mean LOA of vessels","avgloa",10.9437,"metre","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","FPO","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Capacity","Mean LOA of vessels","avgloa",6.2592,"metre","map_fs","map","map_capacity",NA,NA,NA
2024-04-09,"Sweden","SWE",2009,"NAO","HOK","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Mean LOA of vessels","avgloa",21.66,"metre","map_fs","map","map_capacity",NA,NA,NA
