"fishing_style","extreme_event","node","est","n","prob","f.style"
"trawler","abl","individual_risk","high",4034,0.04034,"trw"
"trawler","abl","societal_risk","low",44867,0.44867,"trw"
"trawler","abl","societal_risk","medium",51099,0.51099,"trw"
"trawler","abl","societal_risk","high",4034,0.04034,"trw"
"trawler","hws","economic_risk","low",100000,1,"trw"
"trawler","hws","individual_risk","low",71017,0.71017,"trw"
"trawler","hws","individual_risk","medium",28067,0.28067,"trw"
"trawler","hws","individual_risk","high",916,0.00916,"trw"
"trawler","hws","societal_risk","low",71017,0.71017,"trw"
"trawler","hws","societal_risk","medium",28067,0.28067,"trw"
"trawler","hws","societal_risk","high",916,0.00916,"trw"
"trawler","hww","economic_risk","low",100000,1,"trw"
"trawler","hww","individual_risk","low",92841,0.92841,"trw"
"trawler","hww","individual_risk","medium",7124,0.07124,"trw"
"trawler","hww","individual_risk","high",35,0.00035,"trw"
"trawler","hww","societal_risk","low",92841,0.92841,"trw"
"trawler","hww","societal_risk","medium",7124,0.07124,"trw"
"trawler","hww","societal_risk","high",35,0.00035,"trw"
"trawler","gal","economic_risk","low",100000,1,"trw"
"trawler","gal","individual_risk","low",21129,0.21129,"trw"
"trawler","gal","individual_risk","medium",51636,0.51636,"trw"
"trawler","gal","individual_risk","high",27235,0.27235,"trw"
"trawler","gal","societal_risk","low",21129,0.21129,"trw"
"trawler","gal","societal_risk","medium",51636,0.51636,"trw"
"trawler","gal","societal_risk","high",27235,0.27235,"trw"
"trawler","sto","economic_risk","low",99095,0.99095,"trw"
"trawler","sto","economic_risk","medium",905,0.00905,"trw"
"trawler","sto","individual_risk","low",53294,0.53294,"trw"
"trawler","sto","individual_risk","medium",45982,0.45982,"trw"
"trawler","sto","individual_risk","high",724,0.00724,"trw"
"trawler","sto","societal_risk","low",53294,0.53294,"trw"
"trawler","sto","societal_risk","medium",45982,0.45982,"trw"
"trawler","sto","societal_risk","high",724,0.00724,"trw"
"trawler","erf","economic_risk","low",100000,1,"trw"
"trawler","erf","individual_risk","low",58909,0.58909,"trw"
"trawler","erf","individual_risk","medium",37169,0.37169,"trw"
"trawler","erf","individual_risk","high",3922,0.03922,"trw"
"trawler","erf","societal_risk","low",58909,0.58909,"trw"
"trawler","erf","societal_risk","medium",37169,0.37169,"trw"
"trawler","erf","societal_risk","high",3922,0.03922,"trw"
"trawler","ici","economic_risk","low",24953,0.24953,"trw"
"trawler","ici","economic_risk","medium",39025,0.39025,"trw"
"trawler","ici","economic_risk","high",36022,0.36022,"trw"
"trawler","ici","individual_risk","low",97,0.00097,"trw"
"trawler","ici","individual_risk","medium",38791,0.38791,"trw"
"trawler","ici","individual_risk","high",61112,0.61112,"trw"
"trawler","ici","societal_risk","low",97,0.00097,"trw"
"trawler","ici","societal_risk","medium",38791,0.38791,"trw"
"trawler","ici","societal_risk","high",61112,0.61112,"trw"
"guide","abl","economic_risk","low",25058,0.25058,"fgu"
"guide","abl","economic_risk","medium",1457,0.01457,"fgu"
"guide","abl","economic_risk","high",73485,0.73485,"fgu"
"guide","abl","individual_risk","low",14492,0.14492,"fgu"
"guide","abl","individual_risk","medium",8129,0.08129,"fgu"
"guide","abl","individual_risk","high",77379,0.77379,"fgu"
"guide","abl","societal_risk","low",14492,0.14492,"fgu"
"guide","abl","societal_risk","medium",70065,0.70065,"fgu"
"guide","abl","societal_risk","high",15443,0.15443,"fgu"
"guide","hws","economic_risk","low",79703,0.79703,"fgu"
"guide","hws","economic_risk","medium",14232,0.14232,"fgu"
"guide","hws","economic_risk","high",6065,0.06065,"fgu"
"guide","hws","individual_risk","low",40360,0.4036,"fgu"
"guide","hws","individual_risk","medium",37388,0.37388,"fgu"
"guide","hws","individual_risk","high",22252,0.22252,"fgu"
"guide","hws","societal_risk","low",40360,0.4036,"fgu"
"guide","hws","societal_risk","medium",55186,0.55186,"fgu"
"guide","hws","societal_risk","high",4454,0.04454,"fgu"
"guide","hww","economic_risk","low",12436,0.12436,"fgu"
"guide","hww","economic_risk","medium",1680,0.0168,"fgu"
"guide","hww","economic_risk","high",85884,0.85884,"fgu"
"guide","hww","individual_risk","low",5827,0.05827,"fgu"
"guide","hww","individual_risk","medium",5382,0.05382,"fgu"
"guide","hww","individual_risk","high",88791,0.88791,"fgu"
"guide","hww","societal_risk","low",5827,0.05827,"fgu"
"guide","hww","societal_risk","medium",76256,0.76256,"fgu"
"guide","hww","societal_risk","high",17917,0.17917,"fgu"
"guide","gal","economic_risk","low",50566,0.50566,"fgu"
"guide","gal","economic_risk","medium",1,1e-05,"fgu"
"guide","gal","economic_risk","high",49433,0.49433,"fgu"
"guide","gal","individual_risk","low",38557,0.38557,"fgu"
"guide","gal","individual_risk","medium",40797,0.40797,"fgu"
"guide","gal","individual_risk","high",20646,0.20646,"fgu"
"guide","gal","societal_risk","low",38557,0.38557,"fgu"
"guide","gal","societal_risk","medium",57406,0.57406,"fgu"
"guide","gal","societal_risk","high",4037,0.04037,"fgu"
"guide","sto","economic_risk","medium",2031,0.02031,"fgu"
"guide","sto","economic_risk","high",97969,0.97969,"fgu"
"guide","sto","individual_risk","high",100000,1,"fgu"
"guide","sto","societal_risk","medium",79913,0.79913,"fgu"
"guide","sto","societal_risk","high",20087,0.20087,"fgu"
"guide","erf","economic_risk","medium",1832,0.01832,"fgu"
"guide","erf","economic_risk","high",98168,0.98168,"fgu"
"guide","erf","individual_risk","high",100000,1,"fgu"
"guide","erf","societal_risk","medium",80056,0.80056,"fgu"
"guide","erf","societal_risk","high",19944,0.19944,"fgu"
"guide","ici","economic_risk","medium",1929,0.01929,"fgu"
"guide","ici","economic_risk","high",98071,0.98071,"fgu"
"guide","ici","individual_risk","high",100000,1,"fgu"
"guide","ici","societal_risk","medium",80081,0.80081,"fgu"
"guide","ici","societal_risk","high",19919,0.19919,"fgu"
