"fishing_style","extreme_event","node","est","n","prob","f.style"
"trawler","sto","individual_risk","medium",45970,0.4597,"trw"
"trawler","sto","individual_risk","high",708,0.00708,"trw"
"trawler","sto","societal_risk","low",53322,0.53322,"trw"
"trawler","sto","societal_risk","medium",45970,0.4597,"trw"
"trawler","sto","societal_risk","high",708,0.00708,"trw"
"trawler","erf","economic_risk","low",100000,1,"trw"
"trawler","erf","individual_risk","low",58459,0.58459,"trw"
"trawler","erf","individual_risk","medium",37665,0.37665,"trw"
"trawler","erf","individual_risk","high",3876,0.03876,"trw"
"trawler","erf","societal_risk","low",58459,0.58459,"trw"
"trawler","erf","societal_risk","medium",37665,0.37665,"trw"
"trawler","erf","societal_risk","high",3876,0.03876,"trw"
"trawler","ici","economic_risk","low",25138,0.25138,"trw"
"trawler","ici","economic_risk","medium",38876,0.38876,"trw"
"trawler","ici","economic_risk","high",35986,0.35986,"trw"
"trawler","ici","individual_risk","low",76,0.00076,"trw"
"trawler","ici","individual_risk","medium",38891,0.38891,"trw"
"trawler","ici","individual_risk","high",61033,0.61033,"trw"
"trawler","ici","societal_risk","low",76,0.00076,"trw"
"trawler","ici","societal_risk","medium",38891,0.38891,"trw"
"trawler","ici","societal_risk","high",61033,0.61033,"trw"
"guide","abl","economic_risk","low",24890,0.2489,"fgu"
"guide","abl","economic_risk","medium",1446,0.01446,"fgu"
"guide","abl","economic_risk","high",73664,0.73664,"fgu"
"guide","abl","individual_risk","low",14366,0.14366,"fgu"
"guide","abl","individual_risk","medium",8078,0.08078,"fgu"
"guide","abl","individual_risk","high",77556,0.77556,"fgu"
"guide","abl","societal_risk","low",14366,0.14366,"fgu"
"guide","abl","societal_risk","medium",70182,0.70182,"fgu"
"guide","abl","societal_risk","high",15452,0.15452,"fgu"
"guide","hws","economic_risk","low",79776,0.79776,"fgu"
"guide","hws","economic_risk","medium",14085,0.14085,"fgu"
"guide","hws","economic_risk","high",6139,0.06139,"fgu"
"guide","hws","individual_risk","low",40167,0.40167,"fgu"
