"","fishing_style","extreme_event","node","est","n","iter"
"234","small_scale","erf","societal_risk","medium",15880,1
"235","small_scale","erf","societal_risk","high",35630,1
"236","small_scale","erf","strategy_to_change","cope",100000,1
"237","small_scale","erf","substitution_capacity","no",85055,1
"238","small_scale","erf","substitution_capacity","yes",14945,1
"239","small_scale","ici","economic_buffers","low",92339,1
"240","small_scale","ici","economic_buffers","medium",7661,1
"241","small_scale","ici","economic_risk","not_relevant",100000,1
"242","small_scale","ici","go_fishing","no",50085,1
"243","small_scale","ici","go_fishing","yes",49915,1
"244","small_scale","ici","individual_importance","medium",4397,1
"245","small_scale","ici","individual_importance","high",95603,1
"246","small_scale","ici","individual_risk","not_relevant",100000,1
"247","small_scale","ici","societal_importance","high",100000,1
"248","small_scale","ici","societal_risk","not_relevant",100000,1
"249","small_scale","ici","strategy_to_change","not_relevant",100000,1
"250","small_scale","ici","substitution_capacity","no",85163,1
"251","small_scale","ici","substitution_capacity","yes",14837,1
"252","household","abl","economic_buffers","low",100000,1
"253","household","abl","economic_risk","low",100000,1
"254","household","abl","go_fishing","no",100000,1
"255","household","abl","individual_importance","medium",52077,1
"256","household","abl","individual_importance","high",47923,1
"257","household","abl","individual_risk","medium",100000,1
"258","household","abl","societal_importance","medium",77201,1
"259","household","abl","societal_importance","high",22799,1
"260","household","abl","societal_risk","medium",100000,1
"261","household","abl","strategy_to_change","cope",100000,1
"262","household","abl","substitution_capacity","yes",100000,1
"263","household","hws","economic_buffers","low",100000,1
"264","household","hws","economic_risk","low",62623,1
"265","household","hws","economic_risk","medium",10457,1
"266","household","hws","economic_risk","high",26920,1
"267","household","hws","go_fishing","no",21869,1
"268","household","hws","go_fishing","yes",78131,1
"269","household","hws","individual_importance","medium",51901,1
"270","household","hws","individual_importance","high",48099,1
"271","household","hws","individual_risk","low",48414,1
"272","household","hws","individual_risk","medium",50730,1
"273","household","hws","individual_risk","high",856,1
"274","household","hws","societal_importance","medium",76946,1
"275","household","hws","societal_importance","high",23054,1
"276","household","hws","societal_risk","low",48414,1
"277","household","hws","societal_risk","medium",51177,1
"278","household","hws","societal_risk","high",409,1
"279","household","hws","strategy_to_change","cope",35919,1
"280","household","hws","strategy_to_change","react",64081,1
"281","household","hws","substitution_capacity","yes",100000,1
"282","household","hww","economic_buffers","low",100000,1
"283","household","hww","economic_risk","low",100000,1
"284","household","hww","go_fishing","no",6825,1
"285","household","hww","go_fishing","yes",93175,1
"286","household","hww","individual_importance","medium",52067,1
"287","household","hww","individual_importance","high",47933,1
"288","household","hww","individual_risk","low",72246,1
"289","household","hww","individual_risk","medium",27297,1
"290","household","hww","individual_risk","high",457,1
"291","household","hww","societal_importance","medium",77184,1
"292","household","hww","societal_importance","high",22816,1
"293","household","hww","societal_risk","low",72246,1
"294","household","hww","societal_risk","medium",27532,1
"295","household","hww","societal_risk","high",222,1
"296","household","hww","strategy_to_change","cope",100000,1
"297","household","hww","substitution_capacity","yes",100000,1
"298","household","gal","economic_buffers","low",100000,1
"299","household","gal","economic_risk","low",33232,1
"300","household","gal","economic_risk","medium",27274,1
"301","household","gal","economic_risk","high",39494,1
"302","household","gal","go_fishing","no",29163,1
"303","household","gal","go_fishing","yes",70837,1
"304","household","gal","individual_importance","medium",51946,1
"305","household","gal","individual_importance","high",48054,1
"306","household","gal","individual_risk","low",58788,1
"307","household","gal","individual_risk","medium",40979,1
"308","household","gal","individual_risk","high",233,1
"309","household","gal","societal_importance","medium",77030,1
"310","household","gal","societal_importance","high",22970,1
"311","household","gal","societal_risk","low",58788,1
"312","household","gal","societal_risk","medium",41122,1
"313","household","gal","societal_risk","high",90,1
"314","household","gal","strategy_to_change","cope",29163,1
"315","household","gal","strategy_to_change","react",70837,1
"316","household","gal","substitution_capacity","yes",100000,1
"317","household","sto","economic_buffers","low",100000,1
"318","household","sto","economic_risk","low",100000,1
"319","household","sto","go_fishing","no",100000,1
"320","household","sto","individual_importance","medium",51947,1
"321","household","sto","individual_importance","high",48053,1
"322","household","sto","individual_risk","medium",100000,1
"323","household","sto","societal_importance","medium",77387,1
"324","household","sto","societal_importance","high",22613,1
"325","household","sto","societal_risk","medium",100000,1
"326","household","sto","strategy_to_change","cope",100000,1
"327","household","sto","substitution_capacity","yes",100000,1
"328","household","erf","economic_buffers","low",100000,1
"329","household","erf","economic_risk","low",100000,1
"330","household","erf","go_fishing","no",100000,1
"331","household","erf","individual_importance","medium",51950,1
"332","household","erf","individual_importance","high",48050,1
"333","household","erf","individual_risk","medium",100000,1
"334","household","erf","societal_importance","medium",76978,1
"335","household","erf","societal_importance","high",23022,1
"336","household","erf","societal_risk","medium",100000,1
"337","household","erf","strategy_to_change","cope",100000,1
"338","household","erf","substitution_capacity","yes",100000,1
"339","household","ici","economic_buffers","low",100000,1
"340","household","ici","economic_risk","not_relevant",100000,1
"341","household","ici","go_fishing","no",50026,1
"342","household","ici","go_fishing","yes",49974,1
"343","household","ici","individual_importance","medium",51765,1
"344","household","ici","individual_importance","high",48235,1
"345","household","ici","individual_risk","not_relevant",100000,1
"346","household","ici","societal_importance","medium",77090,1
"347","household","ici","societal_importance","high",22910,1
"348","household","ici","societal_risk","not_relevant",100000,1
"349","household","ici","strategy_to_change","not_relevant",100000,1
"350","household","ici","substitution_capacity","yes",100000,1
"351","trawler","abl","economic_buffers","medium",49890,1
"352","trawler","abl","economic_buffers","high",50110,1
"353","trawler","abl","economic_risk","low",100000,1
"354","trawler","abl","go_fishing","yes",100000,1
"355","trawler","abl","individual_importance","high",100000,1
"356","trawler","abl","individual_risk","low",37349,1
"357","trawler","abl","individual_risk","medium",58423,1
"358","trawler","abl","individual_risk","high",4228,1
"359","trawler","abl","societal_importance","high",100000,1
"360","trawler","abl","societal_risk","low",37349,1
"361","trawler","abl","societal_risk","medium",58423,1
"362","trawler","abl","societal_risk","high",4228,1
"363","trawler","abl","strategy_to_change","cope",100000,1
"364","trawler","abl","substitution_capacity","yes",100000,1
"365","trawler","hws","economic_buffers","medium",50127,1
"366","trawler","hws","economic_buffers","high",49873,1
"367","trawler","hws","economic_risk","low",100000,1
"368","trawler","hws","go_fishing","yes",100000,1
"369","trawler","hws","individual_importance","high",100000,1
"370","trawler","hws","individual_risk","low",60486,1
"371","trawler","hws","individual_risk","medium",37604,1
"372","trawler","hws","individual_risk","high",1910,1
"373","trawler","hws","societal_importance","high",100000,1
"374","trawler","hws","societal_risk","low",60486,1
"375","trawler","hws","societal_risk","medium",37604,1
"376","trawler","hws","societal_risk","high",1910,1
"377","trawler","hws","strategy_to_change","react",100000,1
"378","trawler","hws","substitution_capacity","yes",100000,1
"379","trawler","hww","economic_buffers","medium",49900,1
"380","trawler","hww","economic_buffers","high",50100,1
"381","trawler","hww","economic_risk","low",100000,1
"382","trawler","hww","go_fishing","yes",100000,1
"383","trawler","hww","individual_importance","high",100000,1
"384","trawler","hww","individual_risk","low",89066,1
"385","trawler","hww","individual_risk","medium",10870,1
"386","trawler","hww","individual_risk","high",64,1
"387","trawler","hww","societal_importance","high",100000,1
"388","trawler","hww","societal_risk","low",89066,1
"389","trawler","hww","societal_risk","medium",10870,1
"390","trawler","hww","societal_risk","high",64,1
"391","trawler","hww","strategy_to_change","cope",27339,1
"392","trawler","hww","strategy_to_change","react",72661,1
"393","trawler","hww","substitution_capacity","yes",100000,1
"394","trawler","gal","economic_buffers","medium",50025,1
"395","trawler","gal","economic_buffers","high",49975,1
"396","trawler","gal","economic_risk","low",100000,1
"397","trawler","gal","go_fishing","no",24832,1
"398","trawler","gal","go_fishing","yes",75168,1
"399","trawler","gal","individual_importance","high",100000,1
"400","trawler","gal","individual_risk","low",15800,1
"401","trawler","gal","individual_risk","medium",50424,1
"402","trawler","gal","individual_risk","high",33776,1
"403","trawler","gal","societal_importance","high",100000,1
"404","trawler","gal","societal_risk","low",15800,1
"405","trawler","gal","societal_risk","medium",50424,1
"406","trawler","gal","societal_risk","high",33776,1
"407","trawler","gal","strategy_to_change","cope",100000,1
"408","trawler","gal","substitution_capacity","yes",100000,1
