"","fishing_style","node","est","n","prob","iter"
"174","household","individual_risk","not_relevant",14423,0.14423,2
"175","household","societal_importance","medium",75962,0.75962,2
"176","household","societal_importance","high",24038,0.24038,2
"177","household","societal_risk","low",23922,0.23922,2
"178","household","societal_risk","medium",61563,0.61563,2
"179","household","societal_risk","high",92,0.00092,2
"180","household","societal_risk","not_relevant",14423,0.14423,2
"181","household","strategy_to_change","not_relevant",14423,0.14423,2
"182","household","strategy_to_change","cope",64326,0.64326,2
"183","household","strategy_to_change","react",21251,0.21251,2
"184","household","substitution_capacity","yes",100000,1,2
"185","trawler","economic_buffers","medium",47581,0.47581,2
"186","trawler","economic_buffers","high",52419,0.52419,2
"187","trawler","economic_risk","low",87321,0.87321,2
"188","trawler","economic_risk","medium",6655,0.06655,2
"189","trawler","economic_risk","high",6024,0.06024,2
"190","trawler","go_fishing","no",7289,0.07289,2
"191","trawler","go_fishing","yes",92711,0.92711,2
"192","trawler","individual_importance","high",100000,1,2
"193","trawler","individual_risk","low",44318,0.44318,2
"194","trawler","individual_risk","medium",38756,0.38756,2
"195","trawler","individual_risk","high",16926,0.16926,2
"196","trawler","societal_importance","high",100000,1,2
"197","trawler","societal_risk","low",44318,0.44318,2
"198","trawler","societal_risk","medium",38756,0.38756,2
"199","trawler","societal_risk","high",16926,0.16926,2
"200","trawler","strategy_to_change","cope",53866,0.53866,2
"201","trawler","strategy_to_change","react",46134,0.46134,2
"202","trawler","substitution_capacity","yes",100000,1,2
"203","guide","economic_buffers","low",97122,0.97122,2
"204","guide","economic_buffers","medium",2878,0.02878,2
"205","guide","economic_risk","low",22904,0.22904,2
"206","guide","economic_risk","medium",3662,0.03662,2
"207","guide","economic_risk","high",73434,0.73434,2
"208","guide","go_fishing","no",65700,0.657,2
"209","guide","go_fishing","yes",34300,0.343,2
"210","guide","individual_importance","high",100000,1,2
"211","guide","individual_risk","low",12288,0.12288,2
"212","guide","individual_risk","medium",15275,0.15275,2
"213","guide","individual_risk","high",72437,0.72437,2
"214","guide","societal_importance","medium",84827,0.84827,2
"215","guide","societal_importance","high",15173,0.15173,2
"216","guide","societal_risk","low",12288,0.12288,2
"217","guide","societal_risk","medium",76703,0.76703,2
"218","guide","societal_risk","high",11009,0.11009,2
"219","guide","strategy_to_change","cope",77765,0.77765,2
"220","guide","strategy_to_change","react",3241,0.03241,2
"221","guide","strategy_to_change","adapt",18994,0.18994,2
"222","guide","substitution_capacity","no",100000,1,2
"223","recreational","economic_buffers","low",100000,1,3
"224","recreational","economic_risk","low",58954,0.58954,3
"225","recreational","economic_risk","medium",5583,0.05583,3
"226","recreational","economic_risk","high",21173,0.21173,3
"227","recreational","economic_risk","not_relevant",14290,0.1429,3
"228","recreational","go_fishing","no",26275,0.26275,3
"229","recreational","go_fishing","yes",73725,0.73725,3
"230","recreational","individual_importance","medium",58789,0.58789,3
"231","recreational","individual_importance","high",41211,0.41211,3
"232","recreational","individual_risk","low",39897,0.39897,3
"233","recreational","individual_risk","medium",36922,0.36922,3
"234","recreational","individual_risk","high",8891,0.08891,3
"235","recreational","individual_risk","not_relevant",14290,0.1429,3
"236","recreational","societal_importance","medium",86272,0.86272,3
"237","recreational","societal_importance","high",13728,0.13728,3
"238","recreational","societal_risk","low",39897,0.39897,3
"239","recreational","societal_risk","medium",42907,0.42907,3
"240","recreational","societal_risk","high",2906,0.02906,3
"241","recreational","societal_risk","not_relevant",14290,0.1429,3
"242","recreational","strategy_to_change","not_relevant",14290,0.1429,3
"243","recreational","strategy_to_change","cope",40700,0.407,3
"244","recreational","strategy_to_change","react",9299,0.09299,3
"245","recreational","strategy_to_change","adapt",35711,0.35711,3
"246","recreational","substitution_capacity","no",100000,1,3
"247","small_scale","economic_buffers","low",96923,0.96923,3
"248","small_scale","economic_buffers","medium",3077,0.03077,3
"249","small_scale","economic_risk","low",45139,0.45139,3
"250","small_scale","economic_risk","medium",23292,0.23292,3
"251","small_scale","economic_risk","high",17262,0.17262,3
"252","small_scale","economic_risk","not_relevant",14307,0.14307,3
"253","small_scale","go_fishing","no",40521,0.40521,3
"254","small_scale","go_fishing","yes",59479,0.59479,3
"255","small_scale","individual_importance","medium",5176,0.05176,3
"256","small_scale","individual_importance","high",94824,0.94824,3
"257","small_scale","individual_risk","low",31937,0.31937,3
"258","small_scale","individual_risk","medium",33154,0.33154,3
"259","small_scale","individual_risk","high",20602,0.20602,3
"260","small_scale","individual_risk","not_relevant",14307,0.14307,3
"261","small_scale","societal_importance","high",100000,1,3
"262","small_scale","societal_risk","low",31937,0.31937,3
"263","small_scale","societal_risk","medium",32023,0.32023,3
"264","small_scale","societal_risk","high",21733,0.21733,3
"265","small_scale","societal_risk","not_relevant",14307,0.14307,3
"266","small_scale","strategy_to_change","not_relevant",14307,0.14307,3
"267","small_scale","strategy_to_change","cope",61788,0.61788,3
"268","small_scale","strategy_to_change","react",21995,0.21995,3
"269","small_scale","strategy_to_change","adapt",1910,0.0191,3
"270","small_scale","substitution_capacity","no",56161,0.56161,3
"271","small_scale","substitution_capacity","yes",43839,0.43839,3
"272","household","economic_buffers","low",100000,1,3
"273","household","economic_risk","low",67815,0.67815,3
"274","household","economic_risk","medium",6364,0.06364,3
"275","household","economic_risk","high",11561,0.11561,3
"276","household","economic_risk","not_relevant",14260,0.1426,3
"277","household","go_fishing","no",58277,0.58277,3
"278","household","go_fishing","yes",41723,0.41723,3
"279","household","individual_importance","medium",43940,0.4394,3
"280","household","individual_importance","high",56060,0.5606,3
"281","household","individual_risk","low",27016,0.27016,3
"282","household","individual_risk","medium",58454,0.58454,3
"283","household","individual_risk","high",270,0.0027,3
"284","household","individual_risk","not_relevant",14260,0.1426,3
"285","household","societal_importance","medium",81999,0.81999,3
"286","household","societal_importance","high",18001,0.18001,3
"287","household","societal_risk","low",27016,0.27016,3
"288","household","societal_risk","medium",58643,0.58643,3
"289","household","societal_risk","high",81,0.00081,3
"290","household","societal_risk","not_relevant",14260,0.1426,3
"291","household","strategy_to_change","not_relevant",14260,0.1426,3
"292","household","strategy_to_change","cope",64507,0.64507,3
"293","household","strategy_to_change","react",21233,0.21233,3
"294","household","substitution_capacity","yes",100000,1,3
"295","trawler","economic_buffers","medium",46929,0.46929,3
"296","trawler","economic_buffers","high",53071,0.53071,3
"297","trawler","economic_risk","low",89661,0.89661,3
"298","trawler","economic_risk","medium",5631,0.05631,3
"299","trawler","economic_risk","high",4708,0.04708,3
"300","trawler","go_fishing","no",11431,0.11431,3
"301","trawler","go_fishing","yes",88569,0.88569,3
"302","trawler","individual_importance","high",100000,1,3
"303","trawler","individual_risk","low",46024,0.46024,3
"304","trawler","individual_risk","medium",38964,0.38964,3
"305","trawler","individual_risk","high",15012,0.15012,3
"306","trawler","societal_importance","high",100000,1,3
"307","trawler","societal_risk","low",46024,0.46024,3
"308","trawler","societal_risk","medium",38964,0.38964,3
"309","trawler","societal_risk","high",15012,0.15012,3
"310","trawler","strategy_to_change","cope",55563,0.55563,3
"311","trawler","strategy_to_change","react",44437,0.44437,3
"312","trawler","substitution_capacity","yes",100000,1,3
"313","guide","economic_buffers","low",96952,0.96952,3
"314","guide","economic_buffers","medium",3048,0.03048,3
"315","guide","economic_risk","low",23841,0.23841,3
"316","guide","economic_risk","medium",3107,0.03107,3
"317","guide","economic_risk","high",73052,0.73052,3
"318","guide","go_fishing","no",68303,0.68303,3
"319","guide","go_fishing","yes",31697,0.31697,3
"320","guide","individual_importance","high",100000,1,3
"321","guide","individual_risk","low",13137,0.13137,3
"322","guide","individual_risk","medium",13234,0.13234,3
"323","guide","individual_risk","high",73629,0.73629,3
"324","guide","societal_importance","medium",83904,0.83904,3
"325","guide","societal_importance","high",16096,0.16096,3
"326","guide","societal_risk","low",13137,0.13137,3
"327","guide","societal_risk","medium",75034,0.75034,3
"328","guide","societal_risk","high",11829,0.11829,3
"329","guide","strategy_to_change","cope",83025,0.83025,3
"330","guide","strategy_to_change","react",1943,0.01943,3
"331","guide","strategy_to_change","adapt",15032,0.15032,3
"332","guide","substitution_capacity","no",100000,1,3
"333","recreational","economic_buffers","low",100000,1,4
"334","recreational","economic_risk","low",65868,0.65868,4
"335","recreational","economic_risk","medium",8203,0.08203,4
"336","recreational","economic_risk","high",11575,0.11575,4
"337","recreational","economic_risk","not_relevant",14354,0.14354,4
"338","recreational","go_fishing","no",40081,0.40081,4
"339","recreational","go_fishing","yes",59919,0.59919,4
"340","recreational","individual_importance","medium",47956,0.47956,4
"341","recreational","individual_importance","high",52044,0.52044,4
"342","recreational","individual_risk","low",33290,0.3329,4
"343","recreational","individual_risk","medium",51312,0.51312,4
"344","recreational","individual_risk","high",1044,0.01044,4
"345","recreational","individual_risk","not_relevant",14354,0.14354,4
"346","recreational","societal_importance","medium",44560,0.4456,4
"347","recreational","societal_importance","high",55440,0.5544,4
"348","recreational","societal_risk","low",33290,0.3329,4
"349","recreational","societal_risk","medium",51227,0.51227,4
"350","recreational","societal_risk","high",1129,0.01129,4
"351","recreational","societal_risk","not_relevant",14354,0.14354,4
"352","recreational","strategy_to_change","not_relevant",14354,0.14354,4
"353","recreational","strategy_to_change","cope",41315,0.41315,4
"354","recreational","strategy_to_change","react",13715,0.13715,4
"355","recreational","strategy_to_change","adapt",30616,0.30616,4
"356","recreational","substitution_capacity","yes",100000,1,4
"357","small_scale","economic_buffers","low",72081,0.72081,4
"358","small_scale","economic_buffers","medium",27919,0.27919,4
"359","small_scale","economic_risk","low",49616,0.49616,4
"360","small_scale","economic_risk","medium",20086,0.20086,4
"361","small_scale","economic_risk","high",15960,0.1596,4
"362","small_scale","economic_risk","not_relevant",14338,0.14338,4
"363","small_scale","go_fishing","no",42308,0.42308,4
"364","small_scale","go_fishing","yes",57692,0.57692,4
"365","small_scale","individual_importance","medium",3213,0.03213,4
"366","small_scale","individual_importance","high",96787,0.96787,4
"367","small_scale","individual_risk","low",31001,0.31001,4
"368","small_scale","individual_risk","medium",32156,0.32156,4
"369","small_scale","individual_risk","high",22505,0.22505,4
"370","small_scale","individual_risk","not_relevant",14338,0.14338,4
"371","small_scale","societal_importance","high",100000,1,4
"372","small_scale","societal_risk","low",31001,0.31001,4
"373","small_scale","societal_risk","medium",31398,0.31398,4
"374","small_scale","societal_risk","high",23263,0.23263,4
"375","small_scale","societal_risk","not_relevant",14338,0.14338,4
"376","small_scale","strategy_to_change","not_relevant",14338,0.14338,4
"377","small_scale","strategy_to_change","cope",61905,0.61905,4
"378","small_scale","strategy_to_change","react",23535,0.23535,4
"379","small_scale","strategy_to_change","adapt",222,0.00222,4
"380","small_scale","substitution_capacity","no",57862,0.57862,4
"381","small_scale","substitution_capacity","yes",42138,0.42138,4
"382","household","economic_buffers","low",100000,1,4
"383","household","economic_risk","low",72142,0.72142,4
"384","household","economic_risk","medium",5098,0.05098,4
"385","household","economic_risk","high",8635,0.08635,4
"386","household","economic_risk","not_relevant",14125,0.14125,4
"387","household","go_fishing","no",63717,0.63717,4
"388","household","go_fishing","yes",36283,0.36283,4
"389","household","individual_importance","medium",54979,0.54979,4
"390","household","individual_importance","high",45021,0.45021,4
"391","household","individual_risk","low",21678,0.21678,4
"392","household","individual_risk","medium",63935,0.63935,4
"393","household","individual_risk","high",262,0.00262,4
"394","household","individual_risk","not_relevant",14125,0.14125,4
"395","household","societal_importance","medium",82896,0.82896,4
"396","household","societal_importance","high",17104,0.17104,4
"397","household","societal_risk","low",21678,0.21678,4
"398","household","societal_risk","medium",64110,0.6411,4
"399","household","societal_risk","high",87,0.00087,4
"400","household","societal_risk","not_relevant",14125,0.14125,4
"401","household","strategy_to_change","not_relevant",14125,0.14125,4
"402","household","strategy_to_change","cope",68713,0.68713,4
"403","household","strategy_to_change","react",17162,0.17162,4
"404","household","substitution_capacity","yes",100000,1,4
"405","trawler","economic_buffers","medium",49890,0.4989,4
"406","trawler","economic_buffers","high",50110,0.5011,4
"407","trawler","economic_risk","low",87834,0.87834,4
"408","trawler","economic_risk","medium",6197,0.06197,4
"409","trawler","economic_risk","high",5969,0.05969,4
"410","trawler","go_fishing","no",9943,0.09943,4
"411","trawler","go_fishing","yes",90057,0.90057,4
"412","trawler","individual_importance","high",100000,1,4
"413","trawler","individual_risk","low",41749,0.41749,4
"414","trawler","individual_risk","medium",41755,0.41755,4
"415","trawler","individual_risk","high",16496,0.16496,4
"416","trawler","societal_importance","high",100000,1,4
"417","trawler","societal_risk","low",41749,0.41749,4
"418","trawler","societal_risk","medium",41755,0.41755,4
"419","trawler","societal_risk","high",16496,0.16496,4
"420","trawler","strategy_to_change","cope",54255,0.54255,4
"421","trawler","strategy_to_change","react",45745,0.45745,4
"422","trawler","substitution_capacity","yes",100000,1,4
"423","guide","economic_buffers","low",92881,0.92881,4
"424","guide","economic_buffers","medium",7119,0.07119,4
"425","guide","economic_risk","low",23544,0.23544,4
"426","guide","economic_risk","medium",7018,0.07018,4
"427","guide","economic_risk","high",69438,0.69438,4
"428","guide","go_fishing","no",67810,0.6781,4
"429","guide","go_fishing","yes",32190,0.3219,4
"430","guide","individual_importance","high",100000,1,4
"431","guide","individual_risk","low",13185,0.13185,4
"432","guide","individual_risk","medium",13262,0.13262,4
"433","guide","individual_risk","high",73553,0.73553,4
"434","guide","societal_importance","medium",78899,0.78899,4
"435","guide","societal_importance","high",21101,0.21101,4
"436","guide","societal_risk","low",13185,0.13185,4
"437","guide","societal_risk","medium",71158,0.71158,4
"438","guide","societal_risk","high",15657,0.15657,4
"439","guide","strategy_to_change","cope",81224,0.81224,4
"440","guide","strategy_to_change","react",4495,0.04495,4
"441","guide","strategy_to_change","adapt",14281,0.14281,4
"442","guide","substitution_capacity","no",100000,1,4
"443","recreational","economic_buffers","low",100000,1,5
"444","recreational","economic_risk","low",68610,0.6861,5
"445","recreational","economic_risk","medium",10305,0.10305,5
"446","recreational","economic_risk","high",6849,0.06849,5
"447","recreational","economic_risk","not_relevant",14236,0.14236,5
"448","recreational","go_fishing","no",54764,0.54764,5
"449","recreational","go_fishing","yes",45236,0.45236,5
"450","recreational","individual_importance","medium",55330,0.5533,5
"451","recreational","individual_importance","high",44670,0.4467,5
"452","recreational","individual_risk","low",20212,0.20212,5
"453","recreational","individual_risk","medium",65152,0.65152,5
"454","recreational","individual_risk","high",400,0.004,5
"455","recreational","individual_risk","not_relevant",14236,0.14236,5
"456","recreational","societal_importance","medium",72206,0.72206,5
"457","recreational","societal_importance","high",27794,0.27794,5
"458","recreational","societal_risk","low",20212,0.20212,5
"459","recreational","societal_risk","medium",65298,0.65298,5
"460","recreational","societal_risk","high",254,0.00254,5
"461","recreational","societal_risk","not_relevant",14236,0.14236,5
"462","recreational","strategy_to_change","not_relevant",14236,0.14236,5
"463","recreational","strategy_to_change","cope",48037,0.48037,5
"464","recreational","strategy_to_change","react",17310,0.1731,5
"465","recreational","strategy_to_change","adapt",20417,0.20417,5
"466","recreational","substitution_capacity","yes",100000,1,5
"467","small_scale","economic_buffers","low",21677,0.21677,5
"468","small_scale","economic_buffers","medium",78323,0.78323,5
"469","small_scale","economic_risk","low",63688,0.63688,5
"470","small_scale","economic_risk","medium",11686,0.11686,5
"471","small_scale","economic_risk","high",10200,0.102,5
"472","small_scale","economic_risk","not_relevant",14426,0.14426,5
"473","small_scale","go_fishing","no",33591,0.33591,5
"474","small_scale","go_fishing","yes",66409,0.66409,5
"475","small_scale","individual_importance","medium",6695,0.06695,5
"476","small_scale","individual_importance","high",93305,0.93305,5
"477","small_scale","individual_risk","low",33888,0.33888,5
"478","small_scale","individual_risk","medium",34921,0.34921,5
"479","small_scale","individual_risk","high",16765,0.16765,5
"480","small_scale","individual_risk","not_relevant",14426,0.14426,5
"481","small_scale","societal_importance","high",100000,1,5
"482","small_scale","societal_risk","low",33888,0.33888,5
"483","small_scale","societal_risk","medium",33753,0.33753,5
"484","small_scale","societal_risk","high",17933,0.17933,5
"485","small_scale","societal_risk","not_relevant",14426,0.14426,5
"486","small_scale","strategy_to_change","not_relevant",14426,0.14426,5
"487","small_scale","strategy_to_change","cope",56922,0.56922,5
"488","small_scale","strategy_to_change","react",26033,0.26033,5
"489","small_scale","strategy_to_change","adapt",2619,0.02619,5
"490","small_scale","substitution_capacity","no",53236,0.53236,5
"491","small_scale","substitution_capacity","yes",46764,0.46764,5
"492","household","economic_buffers","low",100000,1,5
"493","household","economic_risk","low",70187,0.70187,5
"494","household","economic_risk","medium",5503,0.05503,5
"495","household","economic_risk","high",10030,0.1003,5
"496","household","economic_risk","not_relevant",14280,0.1428,5
"497","household","go_fishing","no",61499,0.61499,5
"498","household","go_fishing","yes",38501,0.38501,5
"499","household","individual_importance","medium",35088,0.35088,5
"500","household","individual_importance","high",64912,0.64912,5
"501","household","individual_risk","low",22843,0.22843,5
"502","household","individual_risk","medium",62570,0.6257,5
"503","household","individual_risk","high",307,0.00307,5
"504","household","individual_risk","not_relevant",14280,0.1428,5
"505","household","societal_importance","medium",80783,0.80783,5
"506","household","societal_importance","high",19217,0.19217,5
"507","household","societal_risk","low",22843,0.22843,5
"508","household","societal_risk","medium",62794,0.62794,5
"509","household","societal_risk","high",83,0.00083,5
"510","household","societal_risk","not_relevant",14280,0.1428,5
